datetime,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2024-04-02,533,547,519,541,534,2762278184,1475846157111,26006,ذوب,ذوب آهن اصفهان,بورس
2024-04-03,539,542,525,532,532,1622283964,863562612252,17209,ذوب,ذوب آهن اصفهان,بورس
2024-04-06,538,539,506,510,514,2846765049,1463428602185,27287,ذوب,ذوب آهن اصفهان,بورس
2024-04-07,510,528,502,516,514,1376147437,707291568163,13432,ذوب,ذوب آهن اصفهان,بورس
2024-04-08,523,527,517,520,521,822458276,428689138889,9616,ذوب,ذوب آهن اصفهان,بورس
2024-04-09,522,523,510,512,516,1148859026,592836913265,10741,ذوب,ذوب آهن اصفهان,بورس
2024-04-13,514,514,491,491,493,1081595946,533491267948,11185,ذوب,ذوب آهن اصفهان,بورس
2024-04-14,489,489,489,489,491,122486846,59896067694,1594,ذوب,ذوب آهن اصفهان,بورس
2024-04-15,495,495,492,495,495,1223191471,605398321246,8545,ذوب,ذوب آهن اصفهان,بورس
2024-04-16,491,496,491,492,491,1169717905,574578355101,10016,ذوب,ذوب آهن اصفهان,بورس
2024-04-17,495,495,488,490,493,720216270,354872389969,7456,ذوب,ذوب آهن اصفهان,بورس
2024-04-20,507,517,504,517,515,1804996146,930358021225,12450,ذوب,ذوب آهن اصفهان,بورس
2024-04-21,530,532,514,518,523,1245651734,651116349085,12579,ذوب,ذوب آهن اصفهان,بورس
2024-04-22,521,521,508,511,514,1021794639,525581930371,10324,ذوب,ذوب آهن اصفهان,بورس
2024-04-23,506,513,498,502,502,1117979749,560789053635,12155,ذوب,ذوب آهن اصفهان,بورس
2024-04-24,498,507,496,498,500,982401706,490961309384,10468,ذوب,ذوب آهن اصفهان,بورس
2024-04-27,499,511,492,493,497,747515122,371748501345,8688,ذوب,ذوب آهن اصفهان,بورس
2024-04-28,492,495,480,484,484,695000347,336269047016,8473,ذوب,ذوب آهن اصفهان,بورس
2024-04-29,489,493,481,485,486,486879684,236708273074,5777,ذوب,ذوب آهن اصفهان,بورس
2024-04-30,490,490,474,481,480,730627517,350502945041,7586,ذوب,ذوب آهن اصفهان,بورس
2024-05-01,483,494,478,488,485,523005364,253657294188,5436,ذوب,ذوب آهن اصفهان,بورس
2024-05-05,495,495,479,481,483,538448423,260106759300,5799,ذوب,ذوب آهن اصفهان,بورس
2024-05-06,480,481,472,474,475,554893196,263502066437,6769,ذوب,ذوب آهن اصفهان,بورس
2024-05-07,476,479,466,468,469,626320364,293995716295,6905,ذوب,ذوب آهن اصفهان,بورس
2024-05-08,470,470,457,460,461,648728860,298901173901,7748,ذوب,ذوب آهن اصفهان,بورس
2024-05-11,465,466,451,452,456,586866188,267881851839,6392,ذوب,ذوب آهن اصفهان,بورس
2024-05-12,456,460,440,445,447,879360333,392824992768,9651,ذوب,ذوب آهن اصفهان,بورس
2024-05-13,448,448,425,431,431,910551161,392115925855,10429,ذوب,ذوب آهن اصفهان,بورس
2024-05-14,434,448,432,437,438,590968534,258668375542,6208,ذوب,ذوب آهن اصفهان,بورس
2024-05-15,440,446,428,442,438,447242255,195915835469,5094,ذوب,ذوب آهن اصفهان,بورس
2024-05-18,445,445,430,441,436,475324816,207323172606,5475,ذوب,ذوب آهن اصفهان,بورس
2024-05-19,415,422,415,420,415,752324995,312445347057,7177,ذوب,ذوب آهن اصفهان,بورس
2024-05-21,415,423,412,418,419,507162855,212622324902,4976,ذوب,ذوب آهن اصفهان,بورس
2024-05-25,424,424,411,411,412,458183746,188951054951,4541,ذوب,ذوب آهن اصفهان,بورس
2024-05-26,404,404,404,404,404,253066864,102239013056,2394,ذوب,ذوب آهن اصفهان,بورس
2024-05-27,396,401,396,398,396,607629281,240890511702,5702,ذوب,ذوب آهن اصفهان,بورس
2024-05-28,402,403,399,403,402,241039465,97002959055,2187,ذوب,ذوب آهن اصفهان,بورس
2024-05-29,410,410,410,410,404,73321391,30061770310,710,ذوب,ذوب آهن اصفهان,بورس
2024-06-01,412,412,408,412,412,1064329695,438213379180,8133,ذوب,ذوب آهن اصفهان,بورس
2024-06-02,416,416,405,414,410,373184839,152959415666,3959,ذوب,ذوب آهن اصفهان,بورس
2024-06-05,412,414,402,403,403,977020868,393690242263,7515,ذوب,ذوب آهن اصفهان,بورس
2024-06-08,401,405,395,395,395,667868473,263919501408,5963,ذوب,ذوب آهن اصفهان,بورس
2024-06-09,391,402,388,402,399,601575935,239993633719,5200,ذوب,ذوب آهن اصفهان,بورس
2024-06-10,406,406,406,406,403,145195369,58949319814,1205,ذوب,ذوب آهن اصفهان,بورس
2024-06-11,411,411,405,411,410,663331033,271985215141,5799,ذوب,ذوب آهن اصفهان,بورس
2024-06-12,415,418,404,410,411,484147520,199131179051,4816,ذوب,ذوب آهن اصفهان,بورس
2024-06-15,410,413,403,403,403,409412666,165151708090,3480,ذوب,ذوب آهن اصفهان,بورس
2024-06-16,397,402,395,398,396,427547015,169255879067,4401,ذوب,ذوب آهن اصفهان,بورس
2024-06-18,395,402,389,394,394,325525767,128283285837,3544,ذوب,ذوب آهن اصفهان,بورس
2024-06-19,396,401,391,401,400,391260093,156456657465,3326,ذوب,ذوب آهن اصفهان,بورس
